,Symbol,Price,Beta,Volume Avrg.,Market Cap,Shares (2019),Last Div,Dividend Yield,DCF Unlevered,DCF Levered,ROE,ROA,Operating Margin,Debt / Equity,P/E,P/B,Shares (2020),Shares ()
42,AON,201.54,0.786,1520000.0,46690000000.0,240600000.0,1.72,0.0085,193.92,105.51,0.4539,0.0521,0.1981,7.7126,33.98,15.42,,
43,AOS,48.78,1.199,990000.0,7870000000.0,166710900.0,0.9,0.0186,26.23,27.63,0.222,0.121,0.1578,0.8347,19.23,4.27,,
44,APA,11.885,4.646,9520000.0,4500000000.0,377000000.0,1.0,0.0907,-48.58,-26.64,-1.0916,-0.1962,-0.4234,4.5628,-2.98,3.25,,
45,AIV,34.98,0.768,1070000.0,5210000000.0,147944000.0,1.57216,0.0486,88.45,-62.67,0.2662,0.0694,0.1715,2.835,16.07,4.28,,
46,AAPL,112.0,1.309,170460000.0,1915480000000.0,18595652000.0,0.75,0.0068,40.77,47.94,0.6106,0.1632,0.2457,2.741,5.2,3.18,,
47,AMAT,55.0,1.319,7650000.0,50230000000.0,945000000.0,0.82,0.0148,35.69,44.11,0.3294,0.1422,0.2293,1.316,19.73,6.5,,
48,APTV,84.55,2.251,1720000.0,22830000000.0,257390000.0,0.88,0.0105,24.53,13.69,0.2592,0.0736,0.0881,2.5242,22.69,5.88,,
49,ADM,46.89,0.926,2540000.0,26050000000.0,565000000.0,1.4,0.0304,51.24,-90.04,0.0717,0.0313,0.0209,1.2885,18.22,1.31,,
50,ANET,203.81,1.003,710000.0,16329999999.999998,80879000.0,0.0,-,191.57,426.98,0.2971,0.2054,0.3342,0.4459,20.57,6.11,,
51,AJG,101.79,0.688,890000.0,20010000000.0,190100000.0,1.7,0.0167,271.18,164.16,0.1297,0.0341,0.112,2.8085,27.51,3.57,,
52,AIZ,118.7,0.64,400000.0,7200000000.0,62313470.0,2.43,0.0231,456.58,376.6,0.0677,0.0086,0.0886,6.8353,20.96,1.42,,
