,Symbol,Price,Beta,Volume Avrg.,Market Cap,Shares (2019),Last Div,Dividend Yield,DCF Unlevered,DCF Levered,ROE,ROA,Operating Margin,Debt / Equity,P/E,P/B,Shares (2020),Shares ()
142,DVN,8.97,3.258,8140000.000000001,3430000000.0,401000000.0,0.35,0.0436,-74.15,-6.81,-0.0612,-0.0259,0.0233,1.3642,-24.39,1.49,,
143,DXCM,383.46,0.795,920000.0,36710000000.0,92300000.0,0.0,-,-378.91,46.47,0.1145,0.0422,0.0964,1.7136,215.3,24.66,,
144,FANG,29.62,2.229,2480000.0,4670000000.0,163843000.0,0.6875,0.0236,-5207.18,-3620.52,0.0181,0.0102,0.1612,0.7761,50.88,0.92,,
145,DLR,145.6,0.236,1720000.0,39170000000.0,209462250.0,4.25,0.0328,-489.59,-1115.76,-,-,0.194,-,-,-,,
146,DFS,54.74,1.846,3620000.0,16770000000.0,320000000.0,1.68,0.0332,266.06,327.31,0.2493,0.0259,0.2741,8.6126,8.06,2.01,,
147,DISCA,22.83,1.391,4190000.0000000005,10900000000.0,711000000.0,0.0,-,195.03,84.08,-,-,0.2675,-,-,-,,
148,DISCK,20.69,1.636,2600000.0,10950000000.0,711000000.0,0.0,0.0176,234.63,85.46,0.2092,0.0613,0.27,2.4107,7.26,1.52,,
149,DISH,32.105,1.73,2800000.0,16860000000.0,537964000.0,0.0,-,-40.55,-30.2,0.121,0.0421,0.1467,1.8735,12.72,1.54,,
150,DG,200.5,0.491,1940000.0,49930000000.0,,1.28,0.0063,279.99,269.73,0.2555,0.075,0.083,2.4055,22.42,5.73,258053000.0,
151,DLTR,90.05,0.594,2220000.0,21370000000.0,,0.0,-,106.49,346.68,0.1322,0.0422,0.0535,2.1295,24.25,3.21,238300000.0,
152,D,79.64,0.374,4340000.0,66910000000.0,808900000.0,3.67,0.0467,-192.5,-219.86,0.0424,0.0131,0.1522,2.2451,49.8,2.11,,
153,DPZ,394.68,0.361,610000.0,15530000000.0,41923060.0,2.6,0.0064,992.96,645.93,-0.1173,0.2899,0.1739,-1.4046,28.78,-3.38,,
154,DOV,112.8,1.374,780000.0,16239999999.999998,146992000.0,1.94,0.0171,45.79,30.7,0.2235,0.0782,0.1333,1.8587,25.12,5.61,,
155,DOW,49.85,0.0,4470000.0,36940000000.0,742500000.0,2.8,0.0573,-304.59,-235.79,-0.1004,-0.0225,-0.0202,3.4697,-25.21,2.53,,
